node;category;color
Fisheries;activity;tomato
Wind;activity;tomato
MPAs;management;gray50
Red_CO2;objective;gold
Security;objective;gold
Coast_S;objective;gold
Energy_S;objective;gold
Nat_Cons;objective;gold
Sust_Food;objective;gold
Aquacult;activity;tomato
Oil_Gas;activity;tomato
Shipping;activity;tomato
Sand_Ex;activity;tomato
Navig_S;objective;gold
Military;activity;tomato
Biol_Spec;ecosyst;darkolivegreen4
Cabels_P;activity;tomato
Physical_C;ecosyst;darkolivegreen4
Economic;socioeco;slateblue
Social_Dim;socioeco;slateblue
Benthic_Hab;ecosyst;darkolivegreen4
Port_Ac;objective;gold
