;Fisheries;Wind;MPAs;Red_CO2;Security;Coast_S;Energy_S;Nat_Cons;Sust_Food;Aquacult;Oil_Gas;Shipping;Sand_Ex;Navig_S;Military;Biol_Spec;Cabels_P;Physical_C;Economic;Social_Dim;Benthic_Hab;Port_Ac
Fisheries;;;;-0.2;;;;;0.58;;;;;;;-0.49;;;0.18;0.49;-0.49;0.51
Wind;-0.51;;0;0.51;;0.2;0.51;;;0.49;;0.18;;;;-0.2;0.51;-0.2;0.2;-0.49;0.22;0.51
MPAs;-0.49;-0.49;;;;;;0.49;;-0.2;-0.51;-0.18;-0.2;;-0.51;;-0.22;;;;0.51;
Red_CO2;-0.49;0.51;;;;;;;;;-0.49;-0.2;;;;;;;;;;
Security;;;;;;;;;;;;;;;0.49;;0.2;;;;;
Coast_S;;;;;;;;;;;;;0.51;;;;;;;;;
Energy_S;;0.49;;;;;;;;;0.51;;;;0.51;;0.51;;;;;
Nat_Cons;;;0.49;;;;;;;;;;;;;;;;;;;
Sust_Food;;;;;;;;;;;;;;;;;;;;;;
Aquacult;-0.22;;;;;;;;0;;;;;;;-0.18;;;0.22;;-0.2;
Oil_Gas;-0.51;-0.51;-0.2;-0.51;;;0.49;;;;;0.49;;;;-0.18;0.51;;0.51;;-0.18;0.49
Shipping;;;;-0.18;;;;;;;;;;-0.49;;-0.2;;;0.51;;-0.2;0.51
Sand_Ex;;-0.49;;;;0.49;;;;;;;;;;-0.22;;-0.18;0.22;;-0.51;
Navig_S;;;;;;;;;;;;0.51;;;;;;;;;;
Military;-0.2;-0.18;;-0.2;0.49;;;;;-0.2;-0.49;-0.18;-0.2;;;-0.22;;;0.2;;;0.51
Biol_Spec;0.49;;;;;;;;;;;;;;;;;;;;0.2;
Cabels_P;-0.2;-0.2;0.2;;0.2;;0.51;;;;;;-0.51;;;-0.22;;-0.18;0.51;;-0.2;
Physical_C;;0;;;;;;;;;;;;;;-0.2;;;;;;
Economic;;;;;;;;;;;;;;;;;;;;;;
Social_Dim;;;;;;;;;;;;;;;;;;;;;;
Benthic_Hab;;;;;;;;;;;;;;;;0.51;;;;;;
Port_Ac;;;;;;;;;;;;0.51;;;0.51;;;;;;;
