nodes;category
Fisheries_Demersal;activity
Fisheries_Pelagic;activity
Litter;pressure
Shipping;activity
Extraction_Species;pressure
Abrasion;pressure
Noise;pressure
GES;objective
CFP_MSY;objective
Biodiversity;objective
Employment;objective
Quality_Life;objective
Economic_Benefits;objective
Temperature;ecosyst
C_finmarchicus;ecosyst
Cod;ecosyst
C_helgolandicus;ecosyst
Phytoplankton;ecosyst
Haddock;ecosyst
Pollock;ecosyst
Whiting;ecosyst
Norway_pout;ecosyst
Sand_eel;ecosyst
Sprat;ecosyst
Plaice;ecosyst
Benthos;ecosyst
Marine_Mammals;ecosyst
Shellfish;ecosyst
Seabirds;ecosyst
Nutrients;ecosyst
Herring;ecosyst
Mackerel;ecosyst
Tourism;activity
Fisheries_Recreational;activity
MPAs;management
Aquaculture;activity
