;Fisheries_Recreational;Fisheries_Demersal;Dredging;Fisheries_Pelagic;Phyto;Demersal_Fish_Small;Pelagic_Fish_Small;Seabirds;Seals;Zooplankton;Litter;Temperature;Extraction_Pelagic_Species;Runoff;CO2_Emissions;Noise;Employment;Tourism;Recovery_LargeFish;Seafood_Value;Nutrients;MPAs;Eelgrass;Habitat_recovery;Water_quality;Food_Supply;Regional_growth;GES;Biodiversity;Renewable_Energy;Shipping;C_installations;Recreational_boating;Renew_Energy_installations;Aquaculture;Military;Land_Use;Abrasion;Smothering;Placement_Hard_Structures;Coastal_recreation;Pollution;Alien_Species;Pelagic_Fish_Large;Demersal_Fish_Large;Crustaceans;Porpoise;Flatfish;Macro_algea;Cephalopods;Benthos;Fishing_mortality;Gear_regulations;Effort_regulations;Coast_Habitat_Restore;Restocking;Seal_Culling;Commercial_Value_Other;Oxygen;Filamentous_algea;Demersal_Extraction;Reduced_CO2;Recreational_extraction
Fisheries_Recreational;;;;;;;;;;;0.25;;;;0.25;0.25;0.5;0.5;;;;;;;;0.25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.5
Fisheries_Demersal;;;;;;;;;;;0.5;;;;0.5;0.25;0.5;;;0.5;;;;;;0.25;;;;;;;;;;;;0.5;0.25;;;;;;;;;;;;;;;;;;;;;;0.5;;
Dredging;;;;;;;;;;;;;;;0.25;0.5;0.25;;;;;;;;;;;;;;;0.5;;;;;;0.5;0.5;;;0.25;;;;;;;;;;;;;;;;;;;0.25;;
Fisheries_Pelagic;;;;;;;;;;;0.25;;0.5;;0.25;0.25;0.25;;;0.25;;;;;;0.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Phyto;;;;;;;;;;0.47;;;;;;;;;;;;;;;;;;;0.5;;;;;;;;;;;;;;;;;;;;;;0.5;;;;;;;;;;;;
Demersal_Fish_Small;;;;;;;;0.5;0.25;-0.5;;;;;;;;;;;;;-0.5;;;;;;;;;;;;;;;;;;;;;;0.5;-0.5;;;;;-0.5;;;;;;;;;0;;;
Pelagic_Fish_Small;;;;;;;;0.5;;-0.5;;;;;;;;;;;;;;;;;;;0.5;;;;;;;;;;;;;;;0.5;0.5;;0.5;;;0.5;;;;;;;;;;;;;
Seabirds;;;;;;-0.5;-0.5;;;;;;;;;;;;;;;;;;;;;;0.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Seals;;;;;;-0.28;;;;;;;;;;;;;;;;;;;;;;;0.47;;;;;;;;;;;;;;;;-0.28;;;-0.44;;;;;;;;;;;;;;;
Zooplankton;;;;;-0.5;0.5;0.5;;;;;;;;;;;;;;;;;;;;;;0.5;;;;;;;;;;;;;;;0.25;;0.5;;;;;0.5;;;;;;;;;;;;
Litter;;;;;;-0.25;-0.25;-0.5;-0.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.25;;-0.5;-0.5;;-0.5;-0.25;;-0.25;;;;;;;;;;;;;
Temperature;;;;;0.5;;;;;0.5;;;;;;;;;;;0.25;;-0.22;;;;;;;;;;;;;;;;;;;;;;;;;;0.5;;;;;;;;;;-0.5;0.5;;;
Extraction_Pelagic_Species;;;;;;;-0.5;-0.5;-0.25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-0.5;;;-0.5;;;-0.47;;;;;;;;;;;;;
Runoff;;;;;;;;;;;;;;;;;;;;;0.5;;;;-0.5;;;;;;;;;;;;;;0.25;;;;;;;;;;;;;;;;;;;;;;;;
CO2_Emissions;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-0.5;
