nodes;category
Saithe;ecosyst
Trawling_LargeMesh;activity
GES;objective
Economic_Benefits;objective
Biodiversity;objective
Corals;ecosyst
Protection_conservation;management
Fisheries_Industrial;activity
Norw_pout;ecosyst
Shrimp;ecosyst
Trawling_Shrimp;activity
Herring;ecosyst
Mackerel;ecosyst
Shipping;activity
Windpower;activity
Oil_gas;activity
Fisheries_regulations;management
Economic_National;objective
Temperature;ecosyst
Nutrients;ecosyst
C_finmarchicus;ecosyst
C_helgolandicus;ecosyst
Phytoplankton;ecosyst
Hake;ecosyst
Fisheries_Pelagic;activity
Marine_Mammals;ecosyst
Seabirds;ecosyst
Pollution_LandBased;activity
