;Baleen whales;Toothed whales;Seals;Surface-feeding seabirds;Juvenile sharks;Spurdog;Large piscivorous sharks;Small sharks;Juvenile rays;Starry ray + others;Thornback & Spotted ray;Skate + cuckoo ray;Cod (juvenile 0-2);Cod (adult);Whiting (juvenile 0-1);Whiting (adult);Haddock (juvenile 0-1);Haddock (adult);Saithe (juvenile 0-3);Saithe (adult);Hake;Blue whiting;Norway pout;Other gadoids (large);Other gadoids (small);Monkfish;Gurnards;Herring (juvenile 0-1);Herring (adult);Sprat;Mackerel;Horse mackerel;Sandeels;Plaice;Dab;Long-rough dab;Flounder;Sole;Lemon sole;Witch;Turbot;Megrim;Halibut;Dragonets;Catfish (Wolf-fish);Large demersal fish;Small demersal fish;Miscellaneous filterfeeding pelagic fish;Squid & cuttlefish;Fish larvae;Carnivorous zooplankton;Herbivorous & Omnivorous zooplankton (copepods);Gelatinous zooplankton;Large crabs;Nephrops;Epifaunal macrobenthos (mobile grazers);Infaunal macrobenthos;Shrimp;Small mobile epifauna (swarming crustaceans);Small infauna (polychaetes);Sessile epifauna;Meiofauna;Benthic microflora (incl Bacteria protozoa));Planktonic microflora (incl Bacteria protozoa);Diving seabirds;Phytoplankton;Detritus - DOM -water column;Detritus - POM - sediment;Discards;Demersal trawl + dem seine;Beam trawl;Industrial trawl;Pelagic trawl;Drift and fixed nets;Nephrops trawl;Gears using hooks;Shrimp trawlers;Dredges;Pots;Other
Baleen whales;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0402;0,0938;0;0;0;0;0;0;0;0;0;0;0;0
Toothed whales;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0180846;0,0421974;0;0;0;0;0;0;0;0;0;0;0;0
Seals;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,01310016;0,03056704;0;0;0;0;0;0;0;0;0;0;0;0
Surface-feeding seabirds;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,009415801;0,0219702;0;0;0;0;0;0;0;0;0;0;0;0
Juvenile sharks;0;0;0;0;0;0;9,71E-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000270858;0,000632002;0;0;0;0;0;0;0;0,00E+00;0;0;0;0
Spurdog;0;0;0;0;0;0,005472693;1,62E-05;0;0;0;0;0;0;4,55E-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,03002775;0,07006476;0;0,002854333;0,000108376;0,000144318;4,09E-05;0,001200038;0,001689809;4,10E-06;0;0;6,76E-05;0,002663633
Large piscivorous sharks;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000146283;0,000341327;0;1,62E-05;1,24E-07;2,47E-07;2,34E-05;5,86E-05;0,000145782;2,65E-05;0;0;3,63E-07;1,29E-06
Small sharks;0;0;0;0;0;0;8,10E-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000558073;0,001302171;0;6,97E-08;0;4,64E-06;2,20E-06;3,36E-05;3,30E-05;1,34E-07;0;0;9,55E-07;0,000188234
Juvenile rays;0;0;0;0;0;0;9,71E-05;0;0;0,000132587;0;0;0;4,55E-05;0;0;0;0;0;0;0;0;0;0;0;0,000542586;0,000172811;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,08010282;0,1869066;0;0;0;0;0;0;0;0,00E+00;0;0;0;0
Starry ray + others;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1131494;0,2640152;0;0,006347384;0,003147336;6,32E-05;0;7,24E-05;0,003202602;0;1,88E-07;8,16E-08;9,43E-08;2,06E-06
