EwEVersion,"6.6.16889.1 (compiled 27/04/2020)"
Date,"28/04/2020 15:21:17"
ModelName,Kat_200116
EcosimScenario,WGINOSE_baseline_seal_x10
TimeSeries,"Katt_mints - Baseline_seals_x10"
StartYear,1982

Data,Biomass

year\group,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
1982,0.01866485,0.04100184,0.007172579,0.6969262,0.2551143,0.4367151,0.2120516,0.2215945,1.508626,0.2507475,0.7023907,0.07870396,0.02031791,1.041576,1.629045,9.16998,1.687774,18.69436,4.002774,67.64635,75.92447,3.107649,21.1631,40.57093,0.06946375,18.99364,11.89888,0.4912859,49.35873
1983,0.02018143,0.04100115,0.007946029,0.7574583,0.2916674,0.4902149,0.2438399,0.2630026,1.632259,0.2720751,0.7278697,0.09480103,0.02445046,1.130486,1.719266,9.628508,1.612121,16.42141,4.487804,70.11491,77.93884,3.268398,22.97285,41.57736,0.07205752,7.437878,12.42191,0.1734403,28.13617
1984,0.02112445,0.04105842,0.008369111,0.7827743,0.2956615,0.5200775,0.2298631,0.2158867,1.673979,0.2790672,0.7487965,0.08968648,0.02063564,0.9643283,1.293153,8.879828,1.386088,14.61519,3.156682,66.05221,53.57244,3.134216,21.97498,31.93287,0.05795147,8.142682,9.745452,0.3186729,33.62175
1985,0.01887939,0.04109547,0.01109767,0.6797611,0.2431149,0.4380049,0.2116298,0.2347813,1.553323,0.2480196,0.7170882,0.07359763,0.01727434,0.89937,1.123893,8.269246,1.515823,15.98177,2.915496,68.18908,75.97536,2.987695,23.43715,37.85194,0.04860209,25.91223,7.662604,0.6372306,57.96697
1986,0.0179696,0.0410344,0.01169593,0.7584109,0.264516,0.4685905,0.2823573,0.3412625,1.670522,0.2678854,0.7885558,0.0984217,0.02421013,1.303748,1.997144,9.869796,2.268655,26.44799,5.928133,76.99769,119.1222,3.101453,29.28439,55.17398,0.08979831,22.82428,19.79972,0.4809525,56.68612
1987,0.02650063,0.04108842,0.01309945,1.02555,0.4264333,0.6291261,0.3733047,0.3938507,2.056637,0.3574185,0.9850497,0.1528692,0.04254554,1.679659,3.193267,12.57348,2.06707,24.06059,9.512547,77.80421,108.1281,3.342412,35.38348,55.30231,0.129351,8.117173,19.62671,0.1826227,33.81895
1988,0.03823592,0.04138754,0.01105889,1.254451,0.56766,0.7456117,0.3229259,0.298833,2.226163,0.407883,1.231338,0.1467904,0.0375908,1.522584,2.52875,12.39251,1.609058,20.01823,6.707631,65.74847,55.93937,2.90807,35.67252,37.89612,0.1025063,2.621914,16.3662,0.1488633,26.24009
1989,0.04014341,0.04176752,0.007996372,1.129726,0.4115091,0.5653966,0.239757,0.2134853,1.831287,0.3431181,1.205266,0.1178218,0.0260307,1.142023,1.912552,10.64565,1.470724,17.84899,4.732091,56.2813,49.71417,2.567731,34.21795,33.24949,0.07257417,17.44206,10.82189,0.4918561,47.99217
1990,0.03083472,0.04177983,0.007172579,0.9028566,0.3159043,0.3840784,0.2374947,0.2413167,1.497031,0.2725682,1.003735,0.1250811,0.02303335,0.9891008,1.448955,9.492327,1.39001,14.59573,3.722345,54.33662,68.51548,2.514474,36.28738,35.12634,0.05349645,16.04898,8.386191,0.3841029,41.25596
1991,0.0229082,0.04163548,0.01032028,0.8577132,0.3040309,0.3968464,0.2236794,0.250253,1.348353,0.2401593,0.9379931,0.1405427,0.01926908,0.7990009,0.8474979,8.040946,1.187318,10.55047,2.143239,51.33161,77.97852,2.319737,37.47213,28.14051,0.03417582,13.96641,4.635034,0.3966747,38.12325
1992,0.01649893,0.04149986,0.009966862,0.8306023,0.3338504,0.4715928,0.160505,0.2686935,1.230191,0.2155641,0.9455821,0.1284714,0.015226,0.6656465,0.4663413,6.791067,1.261575,12.59522,1.226127,50.21281,91.1957,2.289846,38.25674,24.40629,0.02370337,15.89282,6.748033,0.4351344,42.20649
1993,0.01303501,0.04142058,0.01261522,0.8905315,0.3689655,0.5289428,0.1529531,0.2948144,1.19421,0.2148054,1.026511,0.1346776,0.01638974,0.7485322,0.4508025,7.452129,1.579987,11.87635,1.232353,50.31327,97.73816,2.448166,38.58192,23.13096,0.02930401,11.48017,6.783532,0.3294649,34.94221
1994,0.01244565,0.04144355,0.01412904,0.9750144,0.3689834,0.5484708,0.1985141,0.2887267,1.179195,0.2236833,1.197974,0.1459449,0.01664691,0.7581024,0.4165665,7.691626,1.65824,13.55913,1.10316,48.88191,90.54596,2.593356,36.63539,19.99909,0.03256261,10.88999,8.731593,0.3430622,35.91208
1995,0.01301219,0.04153812,0.01582453,0.9853016,0.3500451,0.5562389,0.235068,0.2796377,1.139218,0.2274404,1.38576,0.1355687,0.01659974,0.752775,0.3793124,7.772676,1.565477,9.114875,0.9547881,47.91854,86.24146,2.671478,33.70953,18.14257,0.02957043,9.654989,4.142402,0.3182175,31.63545
1996,0.01296799,0.04162834,0.01637159,0.9000177,0.2934102,0.5523741,0.2356255,0.2721443,1.076696,0.2143191,1.354298,0.1177536,0.01250659,0.5126294,0.1417603,6.064954,1.065982,7.270576,0.3533813,48.12042,89.65061,2.667255,30.36275,15.41931,0.01099095,14.49998,1.483265,0.4460994,38.98659
1997,0.01122195,0.04158413,0.0189869,0.7785212,0.2516769,0.5501336,0.2550981,0.2876564,1.050581,0.1980167,1.159691,0.1069076,0.01054788,0.427463,0.0419484,5.113767,0.9387965,5.574181,0.1215496,50.29501,93.83668,2.640935,27.5749,14.04903,0.003599507,9.273153,1.253752,0.2995586,28.83489
1998,0.009114246,0.04145831,0.0247646,0.7212362,0.2103569,0.5868079,0.2579937,0.2527588,1.042858,0.1891602,0.9734191,0.09828582,0.009900327,0.3652386,0.008592914,4.535551,0.9001453,6.802238,0.02735082,49.6507,70.75822,2.531261,22.4791,10.01374,0.001263285,4.418472,3.743189,0.2238889,22.89279
1999,0.00713787,0.04130482,0.02393914,0.5991631,0.1736631,0.5422786,0.2003528,0.1992418,0.9678996,0.1680918,0.8362629,0.07127574,0.01060405,0.6381748,0.007840477,6.116264,1.895747,17.77273,0.01952506,49.58484,56.95475,2.367701,17.75438,11.95369,0.006598933,6.895083,14.2399,0.2639737,32.51653
2000,0.00530912,0.04113188,0.02453068,0.5361901,0.1374856,0.4740106,0.1817398,0.1717022,0.9038115,0.1587678,0.8525178,0.08295762,0.01344188,0.9907256,0.02659937,9.677961,2.875904,17.97623,0.05164032,51.13221,44.0518,2.223401,14.63068,18.54871,0.05775495,2.516021,15.61903,0.07197715,20.60985
2001,0.004188942,0.04100144,0.02747436,0.488936,0.1051354,0.3851053,0.1541257,0.1267229,0.8259611,0.1588156,0.8995135,0.07016508,0.01262881,0.9089463,0.0695006,10.5837,2.528715,17.30698,0.1076292,53.05628,33.31593,2.081217,11.91605,24.19208,0.09371981,9.611567,12.23436,0.3712479,38.81041
2002,0.003293615,0.04086281,0.03077129,0.4506687,0.1031219,0.3212745,0.1361613,0.1365157,0.7934938,0.1577252,0.8917537,0.06424743,0.01147536,0.8379349,0.1173833,9.567332,2.063619,10.90579,0.1529773,58.30209,36.88361,1.988137,11.03351,29.09961,0.07764945,5.18492,7.611368,0.1516796,21.89907
2003,0.002575579,0.04076073,0.0186421,0.4443163,0.1068732,0.3215249,0.113851,0.1180493,0.8029663,0.1513099,0.7591343,0.05491631,0.009393736,0.62025,0.09260734,6.668483,1.450757,10.67887,0.08924738,61.39608,33.11038,1.805677,9.487493,25.73218,0.04353352,9.540241,6.021278,0.3633486,34.09708
2004,0.001885137,0.04064074,0.01919129,0.3943152,0.1052928,0.3059049,0.1069651,0.1548353,0.8565888,0.1463901,0.6520206,0.0422628,0.009158698,0.7949781,0.1203145,7.021385,1.935487,14.6962,0.1023051,69.95565,50.37767,1.745503,9.484433,34.20588,0.04557204,17.90956,8.734689,0.4550052,44.87116
2005,0.001549644,0.04056148,0.02382131,0.4624952,0.1227644,0.3674365,0.1164742,0.220063,1.021264,0.1707398,0.6796384,0.06539919,0.01231712,1.023257,0.2508129,8.72307,2.36993,15.07737,0.2080086,81.32475,69.56219,1.87178,10.42725,42.81797,0.06647635,13.61901,9.843887,0.3452047,38.3737
2006,0.001635737,0.04060697,0.0231577,0.5873498,0.1729704,0.4632987,0.1498222,0.2462801,1.285695,0.2157285,0.8391705,0.07545844,0.01376578,0.9830005,0.3951422,8.730699,2.07559,12.87044,0.3341204,88.92904,66.09142,1.998222,10.93359,39.12471,0.06330908,6.677809,9.07272,0.2280434,27.77245
2007,0.00201992,0.04074101,0.02255511,0.6301294,0.1805509,0.5172884,0.2084837,0.3057933,1.59036,0.2528276,0.990462,0.05791124,0.01285717,0.9850274,0.5528504,8.220813,2.081296,15.65334,0.5649095,100.5917,92.09256,2.166911,12.30317,46.7752,0.04921607,35.38744,5.19787,0.872892,73.21261
2008,0.00297992,0.04084453,0.02819782,0.7245528,0.235954,0.641373,0.4013143,0.4606852,2.125739,0.3160085,1.0886,0.0943244,0.01639248,1.092855,0.6698608,8.627345,1.93353,9.573577,0.9692279,114.7219,108.2379,2.520465,15.12862,50.00931,0.03656701,9.792377,5.757381,0.1208931,23.70603
2009,0.004566323,0.04102646,0.05639565,0.7899731,0.2086391,0.7085984,0.3675389,0.3132555,2.514099,0.349398,1.093969,0.07295749,0.01448743,0.7390866,0.2997403,6.589371,1.293472,10.30575,0.5265076,107.7442,43.22715,2.51272,13.9849,27.04459,0.01936691,4.46463,6.545681,0.2971804,28.26927
2010,0.005569972,0.04109109,0.08459347,0.6027531,0.1227342,0.5434793,0.2024601,0.2221079,2.453761,0.3015158,0.9825607,0.0431356,0.01237765,0.7907676,0.2506549,6.636744,1.681074,11.08981,0.4774349,100.885,44.04905,2.367826,12.99638,25.059,0.01950542,9.895186,6.633886,0.3069646,31.95882
2011,0.005374908,0.04098862,0.1127913,0.504487,0.08802619,0.4249414,0.1633987,0.2000213,2.291332,0.2546229,0.8761091,0.05706453,0.01332275,0.7828887,0.2258923,7.059021,1.780338,11.06431,0.4414785,95.6997,45.81693,2.233815,12.26184,24.06839,0.02241949,9.673201,6.656652,0.3062638,31.75359
2012,0.004595782,0.04086251,0.1409891,0.4686859,0.07612612,0.3676387,0.1358427,0.1917857,2.091387,0.2106891,0.8340215,0.05930353,0.01321494,0.7777787,0.2097524,7.122433,1.786497,11.06479,0.4139594,92.53519,47.91328,2.125676,11.6845,23.95414,0.02787963,9.609703,6.662996,0.3061662,31.73528
2013,0.003659775,0.04073612,0.1691869,0.4562615,0.08079575,0.362537,0.08553358,0.1920186,1.875358,0.1692234,0.8201379,0.05619519,0.01292066,0.7783132,0.1940213,7.072891,1.779752,11.05398,0.3924463,91.14212,50.13748,2.04397,11.19191,24.28773,0.0356719,9.538324,6.659716,0.3060543,31.70207
2014,0.002783092,0.04062029,0.1973848,0.4549441,0.08069525,0.3556287,0.05066198,0.1976061,1.647292,0.1304334,0.8053463,0.05485766,0.01245661,0.7811385,0.1768927,7.071606,1.78472,11.038,0.3780119,91.22398,52.29686,1.986674,10.78577,24.79967,0.0456792,9.468239,6.651831,0.3059465,31.66511
2015,0.00206944,0.04052073,0.2255826,0.4545305,0.07547852,0.3481234,0.03408023,0.2062922,1.424918,0.09719554,0.7927639,0.05447334,0.01211861,0.7852206,0.1596997,7.083046,1.787859,11.02189,0.3731632,92.41811,54.21329,1.950097,10.49243,25.29032,0.05743246,9.40614,6.643137,0.3058472,31.63104
2016,0.001540284,0.04044466,0.2537804,0.455181,0.07442141,0.3470694,0.03160553,0.2160435,1.249135,0.07396562,0.7856808,0.05445141,0.01199565,0.7881687,0.1442602,7.086694,1.786848,11.00926,0.3771971,94.29065,55.73897,1.928749,10.29366,25.65181,0.06915426,9.357497,6.63594,0.3057657,31.60482
2017,0.001161017,0.04039135,0.2819782,0.4555582,0.07371192,0.3514695,0.03769981,0.2250202,1.111605,0.05758046,0.7808656,0.05407123,0.01188604,0.7906684,0.130251,7.092857,1.786026,11.0008,0.3891146,96.50497,56.82186,1.91747,10.16369,25.85598,0.07966125,9.323581,6.631081,0.3057028,31.5871
