EwEVersion,"6.6.16889.1 (compiled 27/04/2020)"
Date,"28/04/2020 15:21:17"
ModelName,Kat_200116
EcosimScenario,WGINOSE_baseline_seal_x10
TimeSeries,"Katt_mints - Baseline_seals_x10"
StartYear,1982

Data,Catch

year\group,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
1982,0,0,0,0.5504131,0.008966324,0.1232643,0.01040513,0.007349182,0.07731206,0.05886349,0.5061178,0.000497275,0.009447829,1.076261,0.2310529,0.9462399,2.211511,0,0.0116881,0,0,0.0848076,0.001088841,0,0,0,0,0,0
1983,0,0,0,0.5875639,0.01006843,0.1357387,0.01173787,0.008550617,0.08208282,0.06271674,0.5171717,0.0005906378,0.01121588,1.148502,0.2404887,0.977626,2.088506,0,0.01286691,0,0,0.08791631,0.001161057,0,0,0,0,0,0
1984,0,0,0,0.634443,0.0106642,0.1508995,0.01159461,0.007367805,0.08815131,0.06725524,0.5519398,0.0005796716,0.009829708,1.021851,0.1879111,0.9433464,1.857998,0,0.009463698,0,0,0.08733895,0.001160072,0,0,0,0,0,0
1985,0,0,0,0.5631495,0.008963063,0.1300795,0.01092632,0.008208363,0.08369756,0.06111415,0.5327856,0.0004794805,0.008223964,0.9702325,0.1634525,0.8760145,2.010543,0,0.008937435,0,0,0.08474639,0.001264456,0,0,0,0,0,0
1986,0,0,0,0.4507282,0.006995835,0.09738367,0.01020138,0.008219384,0.06335375,0.0471067,0.4403895,0.0004819728,0.008489232,1.019785,0.2135333,0.7138364,2.261092,0,0.01295149,0,0,0.06778681,0.001136575,0,0,0,0,0,0
1987,0,0,0,0.7548463,0.01396787,0.1594314,0.01644625,0.009388137,0.1034068,0.0789183,0.6902313,0.0009392549,0.02031427,1.741948,0.4608514,1.37957,2.686372,0,0.02854574,0,0,0.0855118,0.001454202,0,0,0,0,0,0
1988,0,0,0,0.7705463,0.01551711,0.1524977,0.01148208,0.006048709,0.08962243,0.0730686,0.7614242,0.0007959286,0.0155854,1.34746,0.3184446,1.186227,1.893321,0,0.01680289,0,0,0.06536693,0.001265376,0,0,0,0,0,0
1989,0,0,0,0.8628435,0.01398672,0.1466552,0.01081142,0.005378049,0.09422486,0.07746428,0.9182394,0.0007870923,0.01360788,1.260699,0.304637,1.386421,2.204375,0,0.01482454,0,0,0.06790747,0.001469877,0,0,0,0,0,0
1990,0,0,0,0.7316574,0.01139258,0.1016945,0.01093197,0.00678989,0.07573994,0.06372424,0.8090442,0.0008840401,0.01128887,1.11603,0.2174641,0.9267566,1.933433,0,0.01169411,0,0,0.08153874,0.001817082,0,0,0,0,0,0
1991,0,0,0,0.6837256,0.01078537,0.1082816,0.01061024,0.006760271,0.07060647,0.05765364,0.7214074,0.0009477996,0.008969788,0.8690128,0.1210568,0.7558318,1.55892,0,0.006516224,0,0,0.07190792,0.001801358,0,0,0,0,0,0
1992,0,0,0,0.6358337,0.01137312,0.1182968,0.006999409,0.007234293,0.05922744,0.0474226,0.699827,0.0008337295,0.006909963,0.7106506,0.06492486,0.6451262,1.590687,0,0.003698579,0,0,0.06757096,0.001799508,0,0,0,0,0,0
1993,0,0,0,0.5777552,0.01065265,0.1114859,0.005604494,0.007614991,0.04624299,0.03851778,0.6266449,0.0007209089,0.006124349,0.6676555,0.05152166,0.5644127,1.598506,0,0.003136135,0,0,0.06052343,0.001652894,0,0,0,0,0,0
1994,0,0,0,0.5862096,0.009872481,0.1188801,0.007480215,0.007578313,0.04497692,0.04012698,0.6321987,0.0006753397,0.005175253,0.5686668,0.0397108,0.4459499,1.420831,0,0.002324066,0,0,0.05723847,0.001487757,0,0,0,0,0,0
1995,0,0,0,0.5215942,0.008246412,0.1077213,0.007914089,0.006403661,0.039205,0.03679733,0.6371592,0.0005465706,0.004525895,0.4885603,0.03161365,0.3872736,1.17713,0,0.001738144,0,0,0.05136793,0.001202803,0,0,0,0,0,0
1996,0,0,0,0.5191208,0.007531301,0.1161116,0.008610569,0.00696069,0.03975599,0.03772701,0.6739252,0.0005138057,0.003630278,0.3539988,0.01250837,0.2829241,0.8450136,0,0.0006819378,0,0,0.05728848,0.001211908,0,0,0,0,0,0
1997,0,0,0,0.4427007,0.006368844,0.110925,0.008942016,0.00741177,0.03690264,0.03337851,0.5738508,0.0004638657,0.002998287,0.2952887,0.003641515,0.2366966,0.7294152,0,0.0002345601,0,0,0.05670001,0.001108946,0,0,0,0,0,0
1998,0,0,0,0.4001924,0.005194283,0.1144606,0.008748551,0.005705914,0.03667925,0.03133732,0.4916101,0.00043525,0.00293911,0.2587626,0.0007801854,0.2407199,0.7397149,0,5.415817E-05,0,0,0.05385521,0.0008293611,0,0,0,0,0,0
1999,0,0,0,0.3678916,0.004745259,0.1117649,0.007178698,0.004897466,0.03635497,0.0298553,0.4748459,0.0003548776,0.003484716,0.5099303,0.0007896623,0.3520874,1.715934,0,4.362446E-05,0,0,0.05735898,0.0007250886,0,0,0,0,0,0
2000,0,0,0,0.3493394,0.003986239,0.1024498,0.006828731,0.004338542,0.03596837,0.0298538,0.5138982,0.0004384872,0.00463148,0.8461556,0.002809802,0.5653462,2.691401,0,0.0001238233,0,0,0.0580365,0.0006282363,0,0,0,0,0,0
2001,0,0,0,0.3750881,0.003589283,0.1062589,0.007393127,0.003660024,0.04202262,0.03809628,0.6148285,0.0004205276,0.004814288,0.8682516,0.008134984,0.6384559,2.636404,0,0.0002863231,0,0,0.06281439,0.0005883732,0,0,0,0,0,0
2002,0,0,0,0.2896141,0.002949108,0.07027753,0.005177984,0.003465009,0.03184167,0.02991088,0.5271895,0.0003330463,0.003907317,0.6967349,0.01226969,0.5736532,1.942293,0,0.0003551083,0,0,0.05017716,0.0004723782,0,0,0,0,0,0
2003,0,0,0,0.286928,0.003071333,0.07236028,0.004454402,0.002789423,0.03374117,0.02974313,0.4608754,0.0002923435,0.00331408,0.5239855,0.01004437,0.4316137,1.44623,0,0.000208838,0,0,0.04599433,0.0003892334,0,0,0,0,0,0
2004,0,0,0,0.2038944,0.002422915,0.04978196,0.003026179,0.003011523,0.0258768,0.02098183,0.3385639,0.0001924264,0.002779745,0.5692324,0.01123123,0.3984468,1.683794,0,0.000201703,0,0,0.03763127,0.0003237759,0,0,0,0,0,0
2005,0,0,0,0.2160275,0.002551829,0.05484508,0.0030224,0.004001825,0.02784398,0.02209395,0.3254866,0.0002746342,0.003529483,0.6645486,0.02211039,0.4972839,2.005154,0,0.0003677753,0,0,0.03597688,0.0003240897,0,0,0,0,0,0
2006,0,0,0,0.2395658,0.003139621,0.06055801,0.003404503,0.003899275,0.03073429,0.02435704,0.3519844,0.0002775288,0.003544481,0.5596045,0.03110613,0.446774,1.563718,0,0.0005207683,0,0,0.03322211,0.0002954193,0,0,0,0,0,0
2007,0,0,0,0.225465,0.002874926,0.05896359,0.004131333,0.00419939,0.03332347,0.02516889,0.3638752,0.000186554,0.002881781,0.4883967,0.03776356,0.3468789,1.354063,0,0.0007670035,0,0,0.03209899,0.0002938206,0,0,0,0,0,0
2008,0,0,0,0.2514774,0.003644466,0.07036988,0.007654693,0.006372551,0.04208997,0.03035353,0.3839452,0.0002917106,0.00347152,0.510671,0.04287997,0.2943675,1.169106,0,0.001237592,0,0,0.03733692,0.0003629138,0,0,0,0,0,0
2009,0,0,0,0.2741834,0.003222569,0.07774571,0.007010461,0.004333189,0.04977957,0.03356069,0.385839,0.0002256306,0.003068077,0.3453615,0.01918735,0.2248312,0.7820954,0,0.0006722896,0,0,0.03722219,0.0003354774,0,0,0,0,0,0
2010,0,0,0,0.2092032,0.001895711,0.05962922,0.003861737,0.003072367,0.04858486,0.02896146,0.3465457,0.0001334025,0.002621278,0.369511,0.01604524,0.2264476,1.016458,0,0.0006096294,0,0,0.03507579,0.0003117644,0,0,0,0,0,0
2011,0,0,0,0.175097,0.001359622,0.04662354,0.003116677,0.002766847,0.04536874,0.02445726,0.3090006,0.0001764796,0.002821428,0.3658294,0.0144601,0.2408558,1.076478,0,0.0005637172,0,0,0.03309063,0.0002941439,0,0,0,0,0,0
2012,0,0,0,0.1626712,0.001175818,0.04033642,0.002591072,0.002652927,0.0414098,0.0202373,0.2941564,0.000183404,0.002798596,0.3634416,0.01342693,0.2430194,1.080202,0,0.0005285785,0,0,0.03148871,0.0002802943,0,0,0,0,0,0
2013,0,0,0,0.158359,0.001247944,0.03977668,0.001631473,0.002656148,0.03713239,0.01625439,0.2892597,0.000173791,0.002736275,0.3636913,0.01241994,0.241329,1.076124,0,0.0005011088,0,0,0.03027837,0.0002684776,0,0,0,0,0,0
2014,0,0,0,0.1579017,0.001246391,0.03901872,0.0009663301,0.002733439,0.03261665,0.0125285,0.2840428,0.0001696546,0.002638001,0.3650115,0.01132348,0.2412852,1.079127,0,0.0004826777,0,0,0.0294296,0.0002587351,0,0,0,0,0,0
2015,0,0,0,0.1577582,0.001165816,0.03819525,0.0006500484,0.002853592,0.0282136,0.009335913,0.279605,0.000168466,0.002566421,0.366919,0.01022289,0.2416755,1.081025,0,0.0004764865,0,0,0.02888777,0.0002516983,0,0,0,0,0,0
2016,0,0,0,0.157984,0.001149488,0.03807961,0.0006028459,0.002988479,0.02473306,0.007104611,0.2771068,0.0001683981,0.00254038,0.3682966,0.009234561,0.2418,1.080414,0,0.0004816373,0,0,0.02857154,0.0002469299,0,0,0,0,0,0
2017,0,0,0,0.1581149,0.001138529,0.03856238,0.0007190885,0.003112651,0.02200995,0.005530769,0.2754085,0.0001672224,0.002517168,0.3694646,0.008337787,0.2420103,1.079917,0,0.0004968546,0,0,0.02840445,0.0002438121,0,0,0,0,0,0
2018,0,0,0,0.1585018,0.001146445,0.03934184,0.0009876502,0.003215268,0.02001984,0.004450193,0.2751079,0.0001673122,0.002534041,0.3703855,0.007552555,0.2422976,1.078853,0,0.0005215369,0,0,0.02832577,0.0002419782,0,0,0,0,0,0
2019,0,0,0,0.1590665,0.001167016,0.0401916,0.001333909,0.003290317,0.0186679,0.003725015,0.2755513,0.0001672246,0.002556071,0.3709352,0.006874464,0.2426486,1.07763,0,0.000554273,0,0,0.02828624,0.0002408585,0,0,0,0,0,0
2020,0,0,0,0.159479,0.001174552,0.04103541,0.001630752,0.003339137,0.017744,0.003211403,0.2760306,0.0001668181,0.002580131,0.3715119,0.006280245,0.2430681,1.076437,0,0.0005941957,0,0,0.02825405,0.0002402177,0,0,0,0,0,0
2021,0,0,0,0.1596589,0.001175404,0.04178813,0.00181769,0.003367214,0.01711505,0.002831015,0.2763006,0.0001665748,0.00260711,0.3721893,0.005755465,0.2434887,1.075076,0,0.0006403918,0,0,0.02821232,0.0002399387,0,0,0,0,0,0
2022,0,0,0,0.159718,0.001173525,0.04233083,0.001900817,0.003380777,0.01669258,0.002538673,0.2763774,0.0001663815,0.002636621,0.3730196,0.005288061,0.2438593,1.073337,0,0.0006916751,0,0,0.02815483,0.0002399302,0,0,0,0,0,0
2023,0,0,0,0.1597785,0.001171645,0.042619,0.001907285,0.003385152,0.01641539,0.002306993,0.2763223,0.000166198,0.002668046,0.3740208,0.004868015,0.2441877,1.071257,0,0.0007466013,0,0,0.02808185,0.0002401252,0,0,0,0,0,0
2024,0,0,0,0.1598758,0.001170972,0.04268605,0.001865025,0.003384261,0.01623968,0.002118618,0.2761917,0.000166053,0.002700672,0.3751761,0.004487324,0.2444933,1.068926,0,0.0008035262,0,0,0.02799695,0.0002404686,0,0,0,0,0,0
2025,0,0,0,0.1600198,0.00117173,0.04258499,0.001799631,0.003380716,0.01613332,0.001962086,0.2760466,0.0001659492,0.002733653,0.3764447,0.004139826,0.2447864,1.066435,0,0.0008607128,0,0,0.02790478,0.0002409109,0,0,0,0,0,0
2026,0,0,0,0.1602094,0.00117368,0.04237448,0.00172996,0.003376113,0.01607226,0.001829554,0.2759165,0.0001658825,0.002766089,0.3777739,0.003820915,0.2450718,1.063895,0,0.0009164645,0,0,0.02780975,0.0002414078,0,0,0,0,0,0
2027,0,0,0,0.1604306,0.001176462,0.04211358,0.001667585,0.003371356,0.01603847,0.001715487,0.2758178,0.0001658442,0.002797119,0.3791082,0.003527187,0.2453506,1.061412,0,0.0009692603,0,0,0.0277155,0.0002419195,0,0,0,0,0,0
2028,0,0,0,0.1606704,0.001179685,0.04184932,0.001618873,0.003366909,0.01601853,0.001615879,0.2757562,0.0001658292,0.002825997,0.3803983,0.003256121,0.2456205,1.059077,0,0.00101787,0,0,0.02762472,0.0002424118,0,0,0,0,0,0
2029,0,0,0,0.1609109,0.001183017,0.0416119,0.001586277,0.003362985,0.01600271,0.001527775,0.2757287,0.0001658297,0.002852154,0.3816039,0.003005795,0.2458776,1.056958,0,0.001061429,0,0,0.02753923,0.0002428572,0,0,0,0,0,0
2030,0,0,0,0.1611365,0.001186194,0.04141834,0.00156873,0.003359657,0.01598433,0.001448966,0.2757283,0.000165838,0.002875229,0.3826972,0.002774668,0.2461178,1.055098,0,0.001099461,0,0,0.02746012,0.000243235,0,0,0,0,0,0
2031,0,0,0,0.1613371,0.001189036,0.04127439,0.001563059,0.003356938,0.01595924,0.001377785,0.2757466,0.0001658485,0.002895075,0.3836631,0.002561424,0.2463377,1.053516,0,0.00113186,0,0,0.02738798,0.0002435326,0,0,0,0,0,0
