EwEVersion,"6.5.14034.0 (compiled 10/03/2017)"
Date,"08/05/2020 07:58:28"
ModelName,"NorthSea1991-2013 Key Run"
EcosimScenario,"Basic setup"
TimeSeries,"North Sea 12Jan2016_070520_Effplus25"
StartYear,1991

Data,Biomass

Year,"Baleen whales","Toothed whales",Seals,"Surface-feeding seabirds","Juvenile sharks",Spurdog,"Large piscivorous sharks","Small sharks","Juvenile rays","Starry ray + others","Thornback & Spotted ray","Skate + cuckoo ray","Cod (juvenile 0-2)","Cod (adult)","Whiting (juvenile 0-1)","Whiting (adult)","Haddock (juvenile 0-1)","Haddock (adult)","Saithe (juvenile 0-3)","Saithe (adult)",Hake,"Blue whiting","Norway pout","Other gadoids (large)","Other gadoids (small)",Monkfish,Gurnards,"Herring (juvenile 0-1)","Herring (adult)",Sprat,Mackerel,"Horse mackerel",Sandeels,Plaice,Dab,"Long-rough dab",Flounder,Sole,"Lemon sole",Witch,Turbot,Megrim,Halibut,Dragonets,"Catfish (Wolf-fish)","Large demersal fish","Small demersal fish","Miscellaneous filterfeeding pelagic fish","Squid & cuttlefish","Fish larvae","Carnivorous zooplankton","Herbivorous & Omnivorous zooplankton (copepods)","Gelatinous zooplankton","Large crabs",Nephrops,"Epifaunal macrobenthos (mobile grazers)","Infaunal macrobenthos",Shrimp,"Small mobile epifauna (swarming crustaceans)","Small infauna (polychaetes)","Sessile epifauna",Meiofauna,"Benthic microflora (incl Bacteria protozoa))","Planktonic microflora (incl Bacteria protozoa)","Diving seabirds",Phytoplankton,"Detritus - DOM -water column","Detritus - POM - sediment",Discards
1991,0.06700555,0.01699517,0.007999736,0.001999649,0.0009961518,0.1295987,0.0009989175,0.00199775,0.268209,0.3892564,0.06596153,0.04999276,0.100268,0.1302304,0.02645566,0.4113303,0.007705501,0.1147662,0.1161736,0.2022966,0.01391006,0.2328704,1.156064,0.0649029,0.2933173,0.0417954,0.1792692,0.1539176,2.802448,0.5152397,0.7591026,0.7767946,1.913254,0.5885363,2.798243,0.3496681,0.2494621,0.1336905,0.1396306,0.08181718,0.02241726,0.03342264,0.03293981,0.04506662,0.01399286,0.02537666,0.3653454,0.03133936,0.0629686,0.3847249,3.432155,18.10682,0.06864887,1.199493,0.9799633,78.12488,137.3295,0.07579862,30.42733,151.5337,105.3842,3.961436,0.1072508,1.474759,0.003997023,7.630276,25.52764,25.46177,1.003164E-06
1992,0.06712451,0.01699501,0.008021991,0.002015973,0.0009892626,0.1295743,0.00101916,0.002007876,0.2800981,0.3929,0.06600862,0.05111826,0.1071614,0.1316095,0.02604914,0.4067055,0.007543926,0.1132896,0.1211995,0.1966381,0.01402045,0.2741469,1.13912,0.06800343,0.3117073,0.04227471,0.1836325,0.1765906,2.91403,0.48938,0.774853,0.842473,2.274023,0.613853,2.81213,0.3516661,0.2465973,0.1298876,0.1398599,0.08243852,0.01638707,0.03254692,0.03307773,0.04588948,0.0140686,0.02684139,0.3762886,0.03570096,0.07192742,0.4208755,3.560953,18.09898,0.0788663,1.207003,0.9800508,78.53355,139.2454,0.06445264,30.78202,153.2466,106.0788,3.856218,0.1060453,1.45597,0.004088354,7.490539,25.32165,25.24435,1.070564E-06
1993,0.06737902,0.01700538,0.008083652,0.002055838,0.0009800742,0.1307564,0.001044844,0.00202098,0.301062,0.3962715,0.06557613,0.05305455,0.1140531,0.1356549,0.02546282,0.3859227,0.007522017,0.1102859,0.1218166,0.1908868,0.01407537,0.2693278,1.040063,0.07499871,0.3102583,0.04435546,0.1923578,0.1645446,3.016354,0.3131625,0.778843,0.8707492,2.488022,0.6526887,2.832142,0.3546768,0.2424972,0.1223174,0.1413659,0.08374215,0.01230528,0.03110407,0.03351474,0.04621197,0.01435766,0.02739198,0.3882921,0.03318115,0.06698937,0.3945334,3.416196,17.92599,0.07402772,1.221713,0.978582,79.05804,139.754,0.06593057,30.62403,152.8227,106.4202,3.883448,0.1067409,1.465028,0.004302381,7.562812,25.43076,25.36408,1.107085E-06
1994,0.06768701,0.01700866,0.008171935,0.002094617,0.0009730959,0.1308759,0.001059413,0.002030196,0.32563,0.3924987,0.06615134,0.05548621,0.1150654,0.1405843,0.02087042,0.3482171,0.007182269,0.1079257,0.1207994,0.1901622,0.01350138,0.2709755,1.042328,0.08252695,0.3126984,0.04646516,0.2026185,0.1674861,3.001637,0.2081539,0.7954522,0.8776477,2.683549,0.6923189,2.853589,0.3601142,0.2410734,0.1116701,0.1427896,0.08477118,0.009264808,0.02812777,0.03396052,0.04691103,0.01482752,0.0279948,0.4102777,0.03377102,0.06790647,0.3931408,3.395351,17.61272,0.07373107,1.233946,0.9755263,79.37525,139.6647,0.07224214,30.47882,152.2054,106.6926,3.847757,0.1060992,1.454547,0.004517905,7.522703,25.3158,25.25314,1.058532E-06
1995,0.06806488,0.01701694,0.008285564,0.002119651,0.0009734242,0.1316016,0.001098847,0.002044718,0.3506446,0.3799004,0.06814937,0.05879132,0.1107699,0.1412559,0.01675231,0.3156787,0.006976109,0.1124189,0.1173436,0.1925599,0.01296557,0.2610548,1.147483,0.09142729,0.319042,0.04955843,0.2158842,0.1581649,3.033892,0.1678911,0.8328184,0.8593406,2.879682,0.7096528,2.884281,0.3696407,0.2461074,0.09920595,0.1441775,0.08604402,0.007402997,0.02593031,0.03460679,0.04752364,0.01549479,0.02899335,0.4518681,0.03267658,0.0657577,0.3789952,3.280131,17.17584,0.07097596,1.24147,0.972918,79.46296,138.9981,0.07070751,30.28262,151.2959,106.7522,3.868405,0.1061663,1.455521,0.004731718,7.555376,25.30713,25.25955,9.476169E-07
1996,0.06850743,0.01703496,0.008425848,0.002126524,0.0009775523,0.1339126,0.001165374,0.002054586,0.3724998,0.3515091,0.07128259,0.06276637,0.1009609,0.1351583,0.0135743,0.2822621,0.006039312,0.1183608,0.1110003,0.196975,0.01276806,0.2364846,1.30416,0.1018123,0.3298628,0.05434379,0.2316805,0.1539463,3.293652,0.1991575,0.8984525,0.8370445,2.891899,0.6957302,2.92837,0.3845665,0.2573376,0.08726025,0.145203,0.08762524,0.006611421,0.02488299,0.03553827,0.04771146,0.0163674,0.03020882,0.5105925,0.03191612,0.06253525,0.3662215,3.132589,16.63368,0.06688043,1.244163,0.9727192,79.3773,138.6147,0.06648996,30.2707,151.1116,106.8865,3.897323,0.1063433,1.460656,0.004943329,7.610815,25.31754,25.30084,8.312386E-07
1997,0.06894167,0.01705444,0.00856223,0.002114831,0.0009916734,0.138563,0.001240173,0.002055851,0.37535,0.3044987,0.07501289,0.06590534,0.07531362,0.1226861,0.01025103,0.2551319,0.007975606,0.1277071,0.1011202,0.2020292,0.01269915,0.2078631,1.441437,0.1090482,0.3421751,0.05929657,0.2410137,0.1610308,3.670187,0.3126425,0.9831901,0.7975354,2.632708,0.6696956,2.978299,0.4064487,0.2692108,0.07727192,0.1456283,0.08895231,0.006681163,0.02556639,0.03643456,0.04821169,0.01717754,0.0309485,0.5523756,0.03112747,0.05761355,0.3525986,2.96985,16.1155,0.06211784,1.247117,0.9744339,79.32674,138.8788,0.07365818,30.41503,151.7773,107.2287,3.932958,0.1068215,1.471539,0.005055965,7.697487,25.38588,25.40928,7.77669E-07
1998,0.06932832,0.01706615,0.008669596,0.002082554,0.001021712,0.1455523,0.00132831,0.002058137,0.3606021,0.2567225,0.07997099,0.06829523,0.04685708,0.1011522,0.008079909,0.2372594,0.01284436,0.143643,0.09101834,0.2031658,0.01273956,0.1812504,1.574661,0.1137315,0.3567718,0.06455229,0.2427535,0.1872679,3.963023,0.3325523,1.066975,0.7655659,2.323327,0.655488,3.032332,0.4350104,0.2799127,0.06957402,0.1462592,0.09068359,0.007259517,0.02764676,0.03712174,0.04985428,0.01805563,0.031642,0.5728809,0.03093983,0.05354568,0.3467096,2.86469,15.84756,0.05934481,1.252143,0.9800661,79.45218,139.7357,0.08389073,30.62559,152.9805,107.8124,3.949884,0.1072359,1.480785,0.005034266,7.760813,25.45558,25.50912,6.845843E-07
1999,0.06966347,0.01706394,0.008741864,0.002028758,0.001059545,0.1541301,0.001419498,0.002060521,0.3372699,0.2196217,0.0859056,0.07029916,0.02836521,0.07348178,0.007026675,0.2152075,0.01420641,0.1654129,0.09203804,0.199057,0.01287127,0.1616684,1.657249,0.121217,0.3678293,0.07271781,0.2383671,0.2256106,4.312502,0.3586057,1.116798,0.7551778,1.961303,0.663906,3.094233,0.4673059,0.2901343,0.06412109,0.1482034,0.09393004,0.008023771,0.03005643,0.03763465,0.05207373,0.01965994,0.03273429,0.5774126,0.03130559,0.05063315,0.3455644,2.782809,15.7021,0.05767292,1.257597,0.9864474,79.7439,140.6525,0.08867016,30.73886,154.0395,108.4784,3.948157,0.107489,1.485736,0.004927243,7.806349,25.51319,25.58261,6.385662E-07
2000,0.06994038,0.01704831,0.008780603,0.001966007,0.001100997,0.1642933,0.001493055,0.002060067,0.3075979,0.1986,0.09158727,0.07134203,0.02022306,0.05318215,0.007055001,0.1989899,0.01134592,0.1758246,0.1062947,0.2121163,0.01305281,0.1375509,1.639992,0.1300998,0.3671597,0.08294917,0.228092,0.2578769,4.820942,0.4001169,1.114964,0.7481483,1.692493,0.6950097,3.15646,0.4980036,0.3002549,0.06054525,0.1507531,0.09768934,0.008764726,0.03296119,0.03790852,0.05398633,0.02187903,0.03358266,0.5630398,0.03043318,0.04738036,0.3410319,2.636395,15.42787,0.05549394,1.2621,0.991814,80.14581,141.7368,0.09467857,30.86835,155.2019,109.253,3.979237,0.1082011,1.499054,0.004777321,7.91449,25.65726,25.75426,6.189868E-07
