EwEVersion,"6.5.14034.0 (compiled 10/03/2017)"
Date,"08/05/2020 07:58:32"
ModelName,"NorthSea1991-2013 Key Run"
EcosimScenario,"Basic setup"
TimeSeries,"North Sea 12Jan2016_070520_Effplus25"
StartYear,1991

Data,Catch

Year,"Baleen whales","Toothed whales",Seals,"Surface-feeding seabirds","Juvenile sharks",Spurdog,"Large piscivorous sharks","Small sharks","Juvenile rays","Starry ray + others","Thornback & Spotted ray","Skate + cuckoo ray","Cod (juvenile 0-2)","Cod (adult)","Whiting (juvenile 0-1)","Whiting (adult)","Haddock (juvenile 0-1)","Haddock (adult)","Saithe (juvenile 0-3)","Saithe (adult)",Hake,"Blue whiting","Norway pout","Other gadoids (large)","Other gadoids (small)",Monkfish,Gurnards,"Herring (juvenile 0-1)","Herring (adult)",Sprat,Mackerel,"Horse mackerel",Sandeels,Plaice,Dab,"Long-rough dab",Flounder,Sole,"Lemon sole",Witch,Turbot,Megrim,Halibut,Dragonets,"Catfish (Wolf-fish)","Large demersal fish","Small demersal fish","Miscellaneous filterfeeding pelagic fish","Squid & cuttlefish","Fish larvae","Carnivorous zooplankton","Herbivorous & Omnivorous zooplankton (copepods)","Gelatinous zooplankton","Large crabs",Nephrops,"Epifaunal macrobenthos (mobile grazers)","Infaunal macrobenthos",Shrimp,"Small mobile epifauna (swarming crustaceans)","Small infauna (polychaetes)","Sessile epifauna",Meiofauna,"Benthic microflora (incl Bacteria protozoa))","Planktonic microflora (incl Bacteria protozoa)","Diving seabirds",Phytoplankton,"Detritus - DOM -water column","Detritus - POM - sediment",Discards
1991,0,0,0,0,0,0.00874602,0.0002720949,0.0002624845,0,0.01281092,0.01116763,0.006754884,0.09818552,0.1224166,0.00653219,0.2620174,0.003922109,0.1021006,0.07429,0.1270423,0.005285822,0.06753243,0.7502853,0.03625991,0.02877634,0.02239587,0.007985113,0.02316989,0.7981371,0.3508782,0.2102714,0.03929555,0.9807022,0.368287,0.1575422,0.001013254,0.06322367,0.06442276,0.01465154,0.01628901,0.01746664,0.003419203,0.00133367,0,0.00538918,0.008831385,0.1717421,0.01112378,0.002260707,0,0,0,0,0.01433509,0.01905502,0.006658187,0,0.1266027,0,0,0,0,0,0,0,0,0,0,0
1992,0,0,0,0,0,0.00827209,0.0002466744,0.0002561928,0,0.01246674,0.01072428,0.006136805,0.09994736,0.1223969,0.006010971,0.2399562,0.003621246,0.09922675,0.07465948,0.1199492,0.005660759,0.06360208,0.6914458,0.03666348,0.03257985,0.02190592,0.00895759,0.0301294,0.9190851,0.3636093,0.2247074,0.0652326,1.110481,0.3711998,0.1674574,0.000861841,0.07242049,0.0660946,0.014805,0.01519752,0.01330512,0.003213834,0.001283298,0,0.005232108,0.009127272,0.1905365,0.0119336,0.002944861,0,0,0,0,0.01481492,0.01584821,0.00672576,0,0.1538613,0,0,0,0,0,0,0,0,0,0,0
1993,0,0,0,0,0,0.008469832,0.000279104,0.0002636012,0,0.0127895,0.0108601,0.006666838,0.1027381,0.1275156,0.005949487,0.244289,0.003477235,0.1041039,0.07026153,0.1219767,0.006017222,0.05521221,0.6635601,0.03793341,0.03106874,0.02175502,0.009410246,0.02595181,1.075029,0.4694305,0.2352106,0.0895704,1.07918,0.3764756,0.1716227,0.0009560583,0.07150432,0.06654312,0.01446466,0.01519134,0.01034674,0.002867584,0.001224739,0,0.004987476,0.009250355,0.1965586,0.009832506,0.002766347,0,0,0,0,0.0150274,0.01802897,0.006793708,0,0.1226375,0,0,0,0,0,0,0,0,0,0,0
1994,0,0,0,0,0,0.008416279,0.0002766298,0.0002637865,0,0.01240963,0.01073812,0.00684845,0.1024635,0.1335551,0.004785309,0.2280822,0.003287302,0.09936256,0.06895322,0.1089629,0.005932171,0.05040144,0.5513914,0.04131088,0.02858932,0.02253974,0.00952183,0.02167299,1.113307,0.228553,0.2465902,0.09445631,1.158622,0.401262,0.1670747,0.0009560403,0.06768128,0.06520307,0.01428865,0.01520742,0.007865355,0.002567408,0.001227793,0,0.005100019,0.009096353,0.1993518,0.009068386,0.002675324,0,0,0,0,0.01491182,0.01781893,0.006790491,0,0.1158078,0,0,0,0,0,0,0,0,0,0,0
1995,0,0,0,0,0,0.008008252,0.0002578166,0.0002610753,0,0.01071283,0.009864801,0.006541679,0.09000728,0.1398433,0.00345837,0.1931954,0.002908034,0.09222493,0.0614424,0.1111071,0.005799393,0.06265315,0.4601409,0.04203737,0.02582137,0.02209263,0.008939344,0.01599918,0.9744863,0.2154043,0.2581737,0.1378357,0.9862911,0.4391751,0.1511846,0.0008806113,0.06045778,0.06165154,0.01301535,0.01404429,0.00609391,0.00217162,0.001148609,0,0.004890029,0.008371414,0.1965489,0.009841091,0.002268094,0,0,0,0,0.01411818,0.01555752,0.006701419,0,0.1312755,0,0,0,0,0,0,0,0,0,0,0
1996,0,0,0,0,0,0.007877495,0.0002584894,0.0002600701,0,0.008983937,0.009362989,0.006546974,0.07698666,0.1351583,0.002594346,0.1558086,0.002367938,0.09511168,0.05487484,0.1006542,0.005054022,0.06999943,0.4747142,0.04421244,0.02561102,0.02283786,0.008216679,0.01442919,0.6063612,0.1117273,0.2749265,0.1170696,1.286172,0.4605896,0.1352034,0.00085973,0.05262386,0.05639805,0.01191875,0.01346251,0.004928085,0.001967089,0.001114485,0,0.004875422,0.008080538,0.1943274,0.01032348,0.001806007,0,0,0,0,0.0132802,0.01432018,0.006601481,0,0.1614609,0,0,0,0,0,0,0,0,0,0,0
1997,0,0,0,0,0,0.008299758,0.0002876931,0.0002629133,0,0.007903897,0.01002241,0.007191954,0.05823335,0.1202323,0.002010544,0.1132786,0.003179502,0.0791324,0.05037696,0.08949894,0.005428886,0.06235893,0.5016202,0.04769647,0.02631385,0.02510194,0.008332575,0.01485484,0.6147562,0.1703902,0.2988898,0.1564088,1.343997,0.4509025,0.1357628,0.0009674868,0.05267219,0.05092606,0.01191313,0.01401378,0.004556164,0.002034582,0.001154503,0,0.005149824,0.008383485,0.2058314,0.01066177,0.001601519,0,0,0,0,0.01323537,0.01531901,0.00659363,0,0.1645708,0,0,0,0,0,0,0,0,0,0,0
1998,0,0,0,0,0,0.008317039,0.0002802257,0.0002592437,0,0.006090409,0.009756344,0.006769756,0.03344042,0.1011522,0.00144791,0.09466652,0.004705767,0.1043083,0.04196667,0.0908151,0.004992315,0.07304391,0.5070409,0.04612314,0.02471352,0.02539277,0.007805555,0.01331277,0.7609004,0.3801073,0.3307624,0.1015131,1.251112,0.4299699,0.129411,0.0009338466,0.05133165,0.04588756,0.01108697,0.01310114,0.004692654,0.002037002,0.00108895,0,0.005012592,0.007753521,0.1996874,0.01089586,0.001390916,0,0,0,0,0.01284491,0.01361989,0.006555328,0,0.1652605,0,0,0,0,0,0,0,0,0,0,0
1999,0,0,0,0,0,0.008321314,0.0003151656,0.0002619846,0,0.004649795,0.0093639,0.006411269,0.01626685,0.07789068,0.001107059,0.09598253,0.004100287,0.1345533,0.0319391,0.09375584,0.00499298,0.06305068,0.57838,0.03735572,0.02698487,0.0223325,0.007200663,0.02029015,0.7978129,0.2359626,0.359609,0.1008371,1.321918,0.4138937,0.1271965,0.0009765882,0.05201952,0.04167422,0.009292914,0.01114816,0.004904821,0.001654404,0.0008426248,0,0.004083651,0.007323854,0.1867098,0.01043793,0.001284827,0,0,0,0,0.01245229,0.01365979,0.006560546,0,0.1752211,0,0,0,0,0,0,0,0,0,0,0
2000,0,0,0,0,0,0.008777267,0.0003471372,0.0002638843,0,0.004009517,0.009543956,0.006432663,0.01072383,0.05584125,0.001066414,0.09770402,0.003018574,0.1551955,0.0330007,0.08590712,0.004701732,0.06588691,0.5313574,0.0360116,0.02755551,0.02312961,0.006290875,0.02467686,0.8971775,0.3344977,0.3746278,0.07429135,0.9989939,0.4079328,0.1224728,0.001059322,0.04848633,0.03858427,0.008571961,0.01091452,0.005552011,0.001616338,0.000764631,0,0.004052289,0.007313756,0.167381,0.00907841,0.001091782,0,0,0,0,0.01210859,0.01431108,0.006563784,0,0.1697114,0,0,0,0,0,0,0,0,0,0,0
